Job Title,Job Number,Job Grade,Job Agency,Application Due By,Link To Job
Service and Repair Mechanic (Motor Equipment) Region 2 - Hamilton County,96757,12,"Transportation, Department of ",12/31/22,"[<a href=""vacancyDetailsView.cfm?id=96757"">Service and Repair Mechanic (Motor Equipment) Region 2 - Hamilton County</a>]"
Service and Repair Mechanic (Motor Equipment) Region 2 - Fulton County,96759,12,"Transportation, Department of ",12/31/22,"[<a href=""vacancyDetailsView.cfm?id=96759"">Service and Repair Mechanic (Motor Equipment) Region 2 - Fulton County</a>]"
Service and Repair Mechanic (Motor Equipment) Region 2 - Montgomery County,96768,12,"Transportation, Department of ",12/31/22,"[<a href=""vacancyDetailsView.cfm?id=96768"">Service and Repair Mechanic (Motor Equipment) Region 2 - Montgomery County</a>]"
"Senior Licensed Practical Nurse 1/Senior Licensed Practical Nurse 2, Capital District Psychiatric Center, P22089",96819,13,"Mental Health, Office of",09/30/22,"[<a href=""vacancyDetailsView.cfm?id=96819"">Senior Licensed Practical Nurse 1/Senior Licensed Practical Nurse 2, Capital District Psychiatric Center, P22089</a>]"
"Senior Occupational Therapist, Capital District Psychiatric Center, P22091",96825,18,"Mental Health, Office of",09/30/22,"[<a href=""vacancyDetailsView.cfm?id=96825"">Senior Occupational Therapist, Capital District Psychiatric Center, P22091</a>]"
Service and Repair Mechanic (Motor Equipment) Region 4- Monroe County,96900,12,"Transportation, Department of ",12/31/22,"[<a href=""vacancyDetailsView.cfm?id=96900"">Service and Repair Mechanic (Motor Equipment) Region 4- Monroe County</a>]"
Service and Repair Mechanic (Motor Equipment) Region 4- Livingston County,96901,12,"Transportation, Department of ",12/31/22,"[<a href=""vacancyDetailsView.cfm?id=96901"">Service and Repair Mechanic (Motor Equipment) Region 4- Livingston County</a>]"
Service and Repair Mechanic (Motor Equipment) Region 4- Wayne County,96903,12,"Transportation, Department of ",12/31/22,"[<a href=""vacancyDetailsView.cfm?id=96903"">Service and Repair Mechanic (Motor Equipment) Region 4- Wayne County</a>]"
Service and Repair Mechanic Motor Equipment Region 8 ,96904,12,"Transportation, Department of ",12/31/22,"[<a href=""vacancyDetailsView.cfm?id=96904"">Service and Repair Mechanic Motor Equipment Region 8 </a>]"
Service and Repair Mechanic (Motor Equipment) Region 4- Ontario County,96906,12,"Transportation, Department of ",12/31/22,"[<a href=""vacancyDetailsView.cfm?id=96906"">Service and Repair Mechanic (Motor Equipment) Region 4- Ontario County</a>]"
Service and Repair Mechanic (Motor Equipment) Region 4- Genesee County,96909,12,"Transportation, Department of ",12/31/22,"[<a href=""vacancyDetailsView.cfm?id=96909"">Service and Repair Mechanic (Motor Equipment) Region 4- Genesee County</a>]"
Service and Repair Mechanic (Motor Equipment) Region 4- Orleans County,96911,12,"Transportation, Department of ",12/31/22,"[<a href=""vacancyDetailsView.cfm?id=96911"">Service and Repair Mechanic (Motor Equipment) Region 4- Orleans County</a>]"
Service and Repair Mechanic (Motor Equipment) Region 4- Wyoming County,96913,12,"Transportation, Department of ",12/31/22,"[<a href=""vacancyDetailsView.cfm?id=96913"">Service and Repair Mechanic (Motor Equipment) Region 4- Wyoming County</a>]"
"Service and Repair Mechanic (Motor Equipment), Region 6",96924,12,"Transportation, Department of ",12/31/22,"[<a href=""vacancyDetailsView.cfm?id=96924"">Service and Repair Mechanic (Motor Equipment), Region 6</a>]"
"Service and Repair Mechanic (Motor Equipment), Region 6",96925,12,"Transportation, Department of ",12/31/22,"[<a href=""vacancyDetailsView.cfm?id=96925"">Service and Repair Mechanic (Motor Equipment), Region 6</a>]"
"Service and Repair Mechanic (Motor Equipment), Region 6",96926,12,"Transportation, Department of ",12/31/22,"[<a href=""vacancyDetailsView.cfm?id=96926"">Service and Repair Mechanic (Motor Equipment), Region 6</a>]"
"Service and Repair Mechanic (Motor Equipment), Region 6",96927,12,"Transportation, Department of ",12/31/22,"[<a href=""vacancyDetailsView.cfm?id=96927"">Service and Repair Mechanic (Motor Equipment), Region 6</a>]"
"Service and Repair Mechanic (Motor Equipment), Region 6",96928,12,"Transportation, Department of ",12/31/22,"[<a href=""vacancyDetailsView.cfm?id=96928"">Service and Repair Mechanic (Motor Equipment), Region 6</a>]"
"Nurse 3 Psychiatric, St. Lawrence Psychiatric Center, P22123",97061,20,"Mental Health, Office of",12/14/22,"[<a href=""vacancyDetailsView.cfm?id=97061"">Nurse 3 Psychiatric, St. Lawrence Psychiatric Center, P22123</a>]"
"Licensed Psychologist; St. Lawrence Psychiatric Center, P22128",97095,25,"Mental Health, Office of",12/29/22,"[<a href=""vacancyDetailsView.cfm?id=97095"">Licensed Psychologist; St. Lawrence Psychiatric Center, P22128</a>]"
"Senior Architect, Box OHE-856/04402",97248,24,"Education Department, State",12/02/23,"[<a href=""vacancyDetailsView.cfm?id=97248"">Senior Architect, Box OHE-856/04402</a>]"
"Motor Vehicle Operator, Box ROM-344/00550",97492,07,"Education Department, State",12/02/23,"[<a href=""vacancyDetailsView.cfm?id=97492"">Motor Vehicle Operator, Box ROM-344/00550</a>]"
"Nurse 2 Psychiatric, Central New York Psychiatric Center – Mid-State Satellite Unit, P22172",97494,16,"Mental Health, Office of",08/29/22,"[<a href=""vacancyDetailsView.cfm?id=97494"">Nurse 2 Psychiatric, Central New York Psychiatric Center – Mid-State Satellite Unit, P22172</a>]"
"Senior Occupational Therapist, Washington Psychiatric Heights Unit, P22176",97534,18,"Mental Health, Office of",08/30/22,"[<a href=""vacancyDetailsView.cfm?id=97534"">Senior Occupational Therapist, Washington Psychiatric Heights Unit, P22176</a>]"
"Licensed Master Social Worker 2 Spanish Language, Washington Heights Psychiatric Unit, P22177",97538,20,"Mental Health, Office of",08/30/22,"[<a href=""vacancyDetailsView.cfm?id=97538"">Licensed Master Social Worker 2 Spanish Language, Washington Heights Psychiatric Unit, P22177</a>]"
"Nurse 3 Psychiatric, Elmira Psychiatric Center, P22195",97611,20,"Mental Health, Office of",08/16/22,"[<a href=""vacancyDetailsView.cfm?id=97611"">Nurse 3 Psychiatric, Elmira Psychiatric Center, P22195</a>]"
"Licensed Master Social Worker 1, Central New York Psychiatric Center, Statewide Satellite Units, P22220",97914,18,"Mental Health, Office of",12/14/22,"[<a href=""vacancyDetailsView.cfm?id=97914"">Licensed Master Social Worker 1, Central New York Psychiatric Center, Statewide Satellite Units, P22220</a>]"
Medical Assistant,97931,08,"Civil Service, Department of ",08/31/22,"[<a href=""vacancyDetailsView.cfm?id=97931"">Medical Assistant</a>]"
"Nurse Administrator 1 Psychiatric, Rockland Children's Psychiatric Center, P22234",97990,20,"Mental Health, Office of",08/15/22,"[<a href=""vacancyDetailsView.cfm?id=97990"">Nurse Administrator 1 Psychiatric, Rockland Children's Psychiatric Center, P22234</a>]"
"Assistant in Education Improvement Services, Box OHE-875/05052",98023,22,"Education Department, State",12/02/23,"[<a href=""vacancyDetailsView.cfm?id=98023"">Assistant in Education Improvement Services, Box OHE-875/05052</a>]"
"Service and Repair Mechanic (Motor Equipment), Region 9",98135,12,"Transportation, Department of ",12/31/22,"[<a href=""vacancyDetailsView.cfm?id=98135"">Service and Repair Mechanic (Motor Equipment), Region 9</a>]"
"Service and Repair Mechanic (Motor Equipment), Region 9",98136,12,"Transportation, Department of ",12/31/22,"[<a href=""vacancyDetailsView.cfm?id=98136"">Service and Repair Mechanic (Motor Equipment), Region 9</a>]"
"Service and Repair Mechanic (Motor Equipment), Region 9",98138,12,"Transportation, Department of ",12/21/22,"[<a href=""vacancyDetailsView.cfm?id=98138"">Service and Repair Mechanic (Motor Equipment), Region 9</a>]"
"Service and Repair Mechanic (Motor Equipment), Region 9",98139,12,"Transportation, Department of ",12/31/22,"[<a href=""vacancyDetailsView.cfm?id=98139"">Service and Repair Mechanic (Motor Equipment), Region 9</a>]"
"Service and Repair Mechanic (Motor Equipment), Region 9",98140,12,"Transportation, Department of ",12/31/22,"[<a href=""vacancyDetailsView.cfm?id=98140"">Service and Repair Mechanic (Motor Equipment), Region 9</a>]"
"Service and Repair Mechanic (Motor Equipment), Region 9",98141,12,"Transportation, Department of ",12/31/22,"[<a href=""vacancyDetailsView.cfm?id=98141"">Service and Repair Mechanic (Motor Equipment), Region 9</a>]"
"Service and Repair Mechanic (Motor Equipment), Region 9",98142,12,"Transportation, Department of ",12/31/22,"[<a href=""vacancyDetailsView.cfm?id=98142"">Service and Repair Mechanic (Motor Equipment), Region 9</a>]"
"Licensed Psychologist, Central New York Psychiatric Center – State Wide Satellite Units, P22242",98146,25,"Mental Health, Office of",12/14/22,"[<a href=""vacancyDetailsView.cfm?id=98146"">Licensed Psychologist, Central New York Psychiatric Center – State Wide Satellite Units, P22242</a>]"
"Associate Psychologist, Central New York Psychiatric Center, Statewide Satellite Units P22243",98148,23,"Mental Health, Office of",12/14/22,"[<a href=""vacancyDetailsView.cfm?id=98148"">Associate Psychologist, Central New York Psychiatric Center, Statewide Satellite Units P22243</a>]"
"Psychologist 2, Central New York Psychiatric Center – State Wide Satellite Unit, P22244",98152,23,"Mental Health, Office of",12/14/22,"[<a href=""vacancyDetailsView.cfm?id=98152"">Psychologist 2, Central New York Psychiatric Center – State Wide Satellite Unit, P22244</a>]"
"Nurse 2 Psychiatric, Central New York Psychiatric Center - Bedford Hills Satellite Unit, P22262",98236,16,"Mental Health, Office of",08/25/22,"[<a href=""vacancyDetailsView.cfm?id=98236"">Nurse 2 Psychiatric, Central New York Psychiatric Center - Bedford Hills Satellite Unit, P22262</a>]"
"Project Assistant, Box PIMS-545/51517",98306,NS,"Education Department, State",12/02/23,"[<a href=""vacancyDetailsView.cfm?id=98306"">Project Assistant, Box PIMS-545/51517</a>]"
"Project Assistant, Box PIMS-544/51593",98312,NS,"Education Department, State",12/02/23,"[<a href=""vacancyDetailsView.cfm?id=98312"">Project Assistant, Box PIMS-544/51593</a>]"
Liquid Fuel Systems Maintenance Technician,98344,14,"Military and Naval Affairs, Division of ",08/31/22,"[<a href=""vacancyDetailsView.cfm?id=98344"">Liquid Fuel Systems Maintenance Technician</a>]"
"Nurse 2 Psychiatric, Central New York Psychiatric Center - Great Meadow Satellite Unit, P22271",98468,16,"Mental Health, Office of",08/25/22,"[<a href=""vacancyDetailsView.cfm?id=98468"">Nurse 2 Psychiatric, Central New York Psychiatric Center - Great Meadow Satellite Unit, P22271</a>]"
Hospital Nursing Service Consultant - Continuous Recruitment ,98514,22,"Health, Department of ",08/31/22,"[<a href=""vacancyDetailsView.cfm?id=98514"">Hospital Nursing Service Consultant - Continuous Recruitment </a>]"
Health Care Surveyor 2 (Nursing) - Continuous Recruitment ,98515,19,"Health, Department of ",08/30/22,"[<a href=""vacancyDetailsView.cfm?id=98515"">Health Care Surveyor 2 (Nursing) - Continuous Recruitment </a>]"
"Nurse 3 Psychiatric, Central New York Psychiatric Center – Marcy - P22292",98569,20,"Mental Health, Office of",08/25/22,"[<a href=""vacancyDetailsView.cfm?id=98569"">Nurse 3 Psychiatric, Central New York Psychiatric Center – Marcy - P22292</a>]"
"Dietitian 2, Mid-Hudson Forensic Psychiatric Center, P22295",98576,18,"Mental Health, Office of",12/27/22,"[<a href=""vacancyDetailsView.cfm?id=98576"">Dietitian 2, Mid-Hudson Forensic Psychiatric Center, P22295</a>]"
"Project Assistant, Box OHE-915/51548",98615,NS,"Education Department, State",12/02/23,"[<a href=""vacancyDetailsView.cfm?id=98615"">Project Assistant, Box OHE-915/51548</a>]"
"Wastewater Treatment Plant Operator 2, Mid-Hudson Forensic Psychiatric Center, P22298",98620,10,"Mental Health, Office of",12/27/22,"[<a href=""vacancyDetailsView.cfm?id=98620"">Wastewater Treatment Plant Operator 2, Mid-Hudson Forensic Psychiatric Center, P22298</a>]"
Nurse 2,98631,16,"Corrections and Community Supervision, Department of ",12/31/22,"[<a href=""vacancyDetailsView.cfm?id=98631"">Nurse 2</a>]"
"Project Assistant, (Two positions), Box OHE-912/51557 and 51558",98651,NS,"Education Department, State",12/02/23,"[<a href=""vacancyDetailsView.cfm?id=98651"">Project Assistant, (Two positions), Box OHE-912/51557 and 51558</a>]"
Nurse 2 - Broome,98660,16,"People With Developmental Disabilities, Office for",12/31/22,"[<a href=""vacancyDetailsView.cfm?id=98660"">Nurse 2 - Broome</a>]"
Community Mental Health Nurse - Broome,98661,19,"People With Developmental Disabilities, Office for",12/31/22,"[<a href=""vacancyDetailsView.cfm?id=98661"">Community Mental Health Nurse - Broome</a>]"
"Nurse Practitioner Psychiatry, Elmira Psychiatric Center, Assertive Community Treatment, Geneva, P22308",98777,24,"Mental Health, Office of",08/04/22,"[<a href=""vacancyDetailsView.cfm?id=98777"">Nurse Practitioner Psychiatry, Elmira Psychiatric Center, Assertive Community Treatment, Geneva, P22308</a>]"
"Project Coordinator, Box OHE-911/51559",98834,NS,"Education Department, State",12/02/23,"[<a href=""vacancyDetailsView.cfm?id=98834"">Project Coordinator, Box OHE-911/51559</a>]"
"Nurse 2 Psychiatric, Central New York Psychiatric Center – Clinton Satellite Unit, P22326",98875,16,"Mental Health, Office of",08/25/22,"[<a href=""vacancyDetailsView.cfm?id=98875"">Nurse 2 Psychiatric, Central New York Psychiatric Center – Clinton Satellite Unit, P22326</a>]"
"Nurse 2 Psychiatric, Central New York Psychiatric Center - Albion Satellite Unit, P22346",99202,16,"Mental Health, Office of",08/25/22,"[<a href=""vacancyDetailsView.cfm?id=99202"">Nurse 2 Psychiatric, Central New York Psychiatric Center - Albion Satellite Unit, P22346</a>]"
"Teacher 2 / Teacher 3 / Teacher 4 - Substitute Temporary, St. Lawrence Psychiatric Center, Children and Youth,  P22359",99277,NS,"Mental Health, Office of",11/18/22,"[<a href=""vacancyDetailsView.cfm?id=99277"">Teacher 2 / Teacher 3 / Teacher 4 - Substitute Temporary, St. Lawrence Psychiatric Center, Children and Youth,  P22359</a>]"
"Health Information Management Technician 1, St. Lawrence Psychiatric Center, P22360",99296,13,"Mental Health, Office of",08/26/22,"[<a href=""vacancyDetailsView.cfm?id=99296"">Health Information Management Technician 1, St. Lawrence Psychiatric Center, P22360</a>]"
"Director of Charter Schools, (Albany or Brooklyn Location), Box OHE-892/21131",99355,664,"Education Department, State",12/02/23,"[<a href=""vacancyDetailsView.cfm?id=99355"">Director of Charter Schools, (Albany or Brooklyn Location), Box OHE-892/21131</a>]"
"Psychiatrist 2, Elmira Psychiatric Center, Ithaca ACT, P22375",99389,38,"Mental Health, Office of",08/11/22,"[<a href=""vacancyDetailsView.cfm?id=99389"">Psychiatrist 2, Elmira Psychiatric Center, Ithaca ACT, P22375</a>]"
"Dentist 2, St. Lawrence Psychiatric Center, P22380",99408,32,"Mental Health, Office of",11/09/22,"[<a href=""vacancyDetailsView.cfm?id=99408"">Dentist 2, St. Lawrence Psychiatric Center, P22380</a>]"
"Dentist 1, St. Lawrence Psychiatric Center, P22379",99409,30,"Mental Health, Office of",11/09/22,"[<a href=""vacancyDetailsView.cfm?id=99409"">Dentist 1, St. Lawrence Psychiatric Center, P22379</a>]"
