Job Title,Job Number,Job Grade,Job Agency,Application Due By
"Associate Psychologist, New York City Children's Center, Queens Campus, P22479",100560,23,"Mental Health, Office of",12/30/22
Disaster Preparedness Program Representative 1,100662,14,"Homeland Security and Emergency Services, Division of ",12/31/22
"Dietitian 2, Washington Heights Psychiatric Unit, P22858",100721,18,"Mental Health, Office of",09/15/22
Pharmacy Consultant ,100731,25,"Health, Department of ",09/01/22
"Print Equipment Operator 2, Box PIMS-554/01366",100733,09,"Education Department, State",12/02/23
Bridge Repair Assistant/Trainee 1/Trainee 2 (Region 2 - Canajoharie),100738,09,"Transportation, Department of ",09/14/22
Tree Pruner (Region 2),100741,08,"Transportation, Department of ",09/14/22
"Superintendent, School for the Deaf, Box ROM-354/00001",100821,NS,"Education Department, State",12/02/23
"Teacher 2 / Teacher 3 / Teacher 4 - Substitute Temporary, Rockland Children's Psychiatric Center, P22506",100979,NS,"Mental Health, Office of",08/15/22
Temporary Facilities Operations Assistant 1 Summer 2022 (Grounds) OPEN UNTIL FILLED,101186,Hourly,University at Albany,08/31/22
Temporary Cleaner (Summer 2022) OPEN UNTIL FILLED,101191,Hourly,University at Albany,08/31/22
"Licensed Psychologist, Mid-Hudson Forensic Psychiatric Center, P22541",101276,25,"Mental Health, Office of",08/16/22
Deputy Superintendent for Insurance,101499,NS,"Financial Services, Department of",08/31/22
"Print Equipment Operator 3, Box PIMS-555/01333",101655,12,"Education Department, State",12/02/23
Hourly Nurse 2 Psychiatric or Nurse 1 (Creedmoor ATC),102225,Hourly,"Addiction Services and Supports, Office of ",03/31/23
Licensed Practical Nurse (Hourly) - Creedmoor Addiction Treatment Center,102251,NS,"Addiction Services and Supports, Office of ",03/31/23
RN2 - Nurse 2   EOA# 22-063,102278,16,"People With Developmental Disabilities, Office for",10/06/22
"Recreation Therapist, Creedmoor Psychiatric Center, P22623",102425,14,"Mental Health, Office of",08/05/22
Nurse 2 Psy/Nurse 1 Hourly (South Beach ATC),102648,Hourly,"Addiction Services and Supports, Office of ",03/31/23
Test Center Supervisor,102732,Hourly,"Civil Service, Department of ",12/31/22
Test Center Supervisor,102735,Hourly,"Civil Service, Department of ",12/31/22
Test Center Monitor,102738,Hourly,"Civil Service, Department of ",12/31/22
Test Center Supervisor,102741,Hourly,"Civil Service, Department of ",12/31/22
Test Center Supervisor,102743,Hourly,"Civil Service, Department of ",12/31/22
Test Center Monitor,102750,Hourly,"Civil Service, Department of ",12/31/22
Test Center Monitor,102804,Hourly,"Civil Service, Department of ",12/31/22
Test Center Monitor,102817,Hourly,"Civil Service, Department of ",12/31/22
Test Center Monitor,102825,Hourly,"Civil Service, Department of ",12/31/22
Test Center Monitor,102827,Hourly,"Civil Service, Department of ",12/31/22
Test Center Monitor,102830,Hourly,"Civil Service, Department of ",12/31/22
Test Center Monitor,102832,Hourly,"Civil Service, Department of ",12/31/22
Test Center Monitor,102836,Hourly,"Civil Service, Department of ",12/31/22
"Psychiatrist 2 (Research), Part-Time, New York State Psychiatric Institute, P22663",103004,38,"Mental Health, Office of",09/05/22
Licensed Psychologist,103084,25,"People With Developmental Disabilities, Office for",09/30/22
Youth Support Specialist (Perm),103165,14,"Children & Family Services, Office of ",08/01/22
"Licensed Psychologist, Creedmoor Psychiatric Center, P22685",103398,25,"Mental Health, Office of",08/04/22
"C220057 - Motor Vehicle Operator, Grounds – Campus Operations",103496,07,University at Buffalo,10/19/22
Bridge Repair Assistant Trainee 1/Trainee 2/Bridge Repair Assistant 1 (Region 10),103586,NS,"Transportation, Department of ",12/31/22
Psychiatrist 1 or 2 (Hourly) - South Beach ATC,103701,Hourly,"Addiction Services and Supports, Office of ",03/31/23
Psychiatrist 1 or Psychiatrist 2 (McPike Addiction Treatment Center),103747,38,"Addiction Services and Supports, Office of ",09/30/22
Bridge Repair Assistant Trainee 1/Trainee 2/Bridge Repair Assistant 1 (Region7),103987,NS,"Transportation, Department of ",10/28/22
Bridge Repair Assistant Trainee 1/Trainee 2/Bridge Repair Assistant 1 (Region7),103991,NS,"Transportation, Department of ",10/28/22
"Licensed Master Social Worker 2, Central New York Psychiatric Center, Hudson Satellite Unit, P22757",104058,20,"Mental Health, Office of",08/08/22
"Licensed Master Social Worker 1, Central New York Psychiatric Center, Mid-State Satellite Unit, Marcy,P22760",104060,18,"Mental Health, Office of",08/08/22
"Rehabilitation Counselor 2, Central New York Psychiatric Center – Upstate Mental Health Unit, P22763",104082,19,"Mental Health, Office of",08/17/22
"Licensed Master Social Worker 2, Korean Language, Creedmoor Psychiatric Center, P22775",104172,20,"Mental Health, Office of",08/08/22
Nurse 2,104224,16,"Children & Family Services, Office of ",07/31/22
Highway Maintenance Worker Trainee 1/Trainee 2/Highway Maintenance Worker 1 (Region 10),104236,06,"Transportation, Department of ",12/31/22
Highway Maintenance Worker Trainee 1/Trainee 2/Highway Maintenance Worker 1 (Region 10),104240,06,"Transportation, Department of ",12/31/22
Highway Maintenance Worker 1/ Trainee 2 (Herkimer County-Region 2),104275,NS,"Transportation, Department of ",12/31/22
Highway Maintenance Worker Trainee 1/Trainee 2/Highway Maintenance Worker 1 (Region 8- Ulster County),104280,06,"Transportation, Department of ",12/31/22
Highway Maintenance Worker Trainee 1/Trainee 2/Highway Maintenance Worker 1 (Region 8- Putnam County),104283,06,"Transportation, Department of ",12/31/22
Highway Maintenance Worker Trainee 1/Trainee 2/Highway Maintenance Worker 1 (Region 8- Ulster County),104285,06,"Transportation, Department of ",12/31/22
Highway Maintenance Worker Trainee 1/Trainee 2/Highway Maintenance Worker 1 (Region 8- Putnam County),104287,06,"Transportation, Department of ",12/31/22
Highway Maintenance Worker Trainee 1/Trainee 2/Highway Maintenance Worker 1 (Region 8- Ulster County),104289,06,"Transportation, Department of ",12/31/22
Highway Maintenance Worker Trainee 1/Trainee 2/Highway Maintenance Worker 1 (Region 8- Putnam County),104291,06,"Transportation, Department of ",12/31/22
Highway Maintenance Worker Trainee 1/Trainee 2/Highway Maintenance Worker 1 (Region 8- Orange County),104295,06,"Transportation, Department of ",12/31/22
Highway Maintenance Worker Trainee 1/Trainee 2/Highway Maintenance Worker 1 (Region 8- Orange County),104297,06,"Transportation, Department of ",12/31/22
Highway Maintenance Worker Trainee 1/Trainee 2/Highway Maintenance Worker 1 (Region 8- Dutchess County),104301,06,"Transportation, Department of ",12/31/22
Highway Maintenance Worker Trainee 1/Trainee 2/Highway Maintenance Worker 1 (Region 8- Columbia County),104304,06,"Transportation, Department of ",12/31/22
Highway Maintenance Worker Trainee 1/Trainee 2/Highway Maintenance Worker 1 (Region 8- Columbia County),104306,06,"Transportation, Department of ",12/31/22
Thruway Maintenance Worker (Trainee),104318,NS,Thruway Authority,08/31/22
"Licensed Master Social Worker 2, South Beach Psychiatric Center, Chinese Language, P22799",104321,20,"Mental Health, Office of",11/04/22
Trades Generalist (Electrician),104325,12,Thruway Authority,08/31/22
Highway Maintenance Worker 1/ Trainee 1/ Trainee 2 (Hamilton County-Region 2),104345,NS,"Transportation, Department of ",12/31/22
Highway Maintenance Worker 1/ Trainee 1/ Trainee 2 (Montgomery County-Region 2),104348,NS,"Transportation, Department of ",12/31/22
Highway Maintenance Worker 1/ Trainee 1/ Trainee 2 (Fulton County-Region 2),104352,NS,"Transportation, Department of ",12/31/22
Highway Maintenance Worker 1/ Trainee 2 (Herkimer County-Region 2),104355,NS,"Transportation, Department of ",12/31/22
Highway Maintenance Worker 1/ Trainee 1/ Trainee 2 (Madison County-Region 2),104358,NS,"Transportation, Department of ",12/31/22
Senior Engineering Technician,104362,13,"Military and Naval Affairs, Division of ",09/30/22
Senior Engineering Technician,104364,13,"Military and Naval Affairs, Division of ",09/30/22
Airport Firefighter 1,104386,12,"Military and Naval Affairs, Division of ",12/31/23
"Regional Supervisor, Facilities Operations",104393,NS,"Military and Naval Affairs, Division of ",08/31/22
Maintenance Supervisor 4-REPOST,104401,21,"Military and Naval Affairs, Division of ",09/30/22
Facilities Operations Assistant 1 ,104428,06,"Military and Naval Affairs, Division of ",08/31/22
Highway Maintenance Worker Trainee 1/Highway Maintenance Worker Trainee 2/Highway Maintenance Worker 1 (Region 4- Monroe County),104445,06,"Transportation, Department of ",12/31/22
Highway Maintenance Worker Trainee 1/Highway Maintenance Worker Trainee 2/Highway Maintenance Worker 1 (Region 4- Livingston County),104447,06,"Transportation, Department of ",12/31/22
Highway Maintenance Worker Trainee 1/Highway Maintenance Worker Trainee 2/Highway Maintenance Worker 1 (Region 4- Wayne County),104449,06,"Transportation, Department of ",12/31/22
Highway Maintenance Worker Trainee 1/Highway Maintenance Worker Trainee 2/Highway Maintenance Worker 1 (Region 4- Ontario County),104451,06,"Transportation, Department of ",12/31/22
Highway Maintenance Worker Trainee 1/Highway Maintenance Worker Trainee 2/Highway Maintenance Worker 1 (Region 4- Genesee County),104453,06,"Transportation, Department of ",12/31/22
Highway Maintenance Worker Trainee 1/Highway Maintenance Worker Trainee 2/Highway Maintenance Worker 1 (Region 4- Orleans County),104455,06,"Transportation, Department of ",12/31/22
Highway Mainetenance Worker Trainee 1/Highway Maintenance Worker Trainee 2/Highway Maintenance Worker 1 (Region 4- Wyoming County),104457,06,"Transportation, Department of ",12/31/22
Nurse 1,104468,14,"Children & Family Services, Office of ",08/07/22
Highway Maintenance Worker Trainee 2/Highway Maintenance Worker 1 (Region 6- Allegany County),104477,06,"Transportation, Department of ",12/31/22
Highway Maintenance Worker Trainee 1/Highway Maintenance Worker Trainee 2/Highway Maintenance Worker 1 (Region 6- Steuben County),104482,06,"Transportation, Department of ",12/31/22
Highway Maintenance Worker Trainee 1/Highway Maintenance Worker Trainee 2/Highway Maintenance Worker 1 (Region 6- Schuyler County),104485,NS,"Transportation, Department of ",12/31/22
Highway Maintenance Worker Trainee 1/Highway Maintenance Worker Trainee 2/Highway Maintenance Worker 1 (Region 6- Chemung County),104488,06,"Transportation, Department of ",12/31/22
Nurse 1 or 2 - Campus,104558,16,"People With Developmental Disabilities, Office for",11/25/22
"Deputy Director, Psychiatric Research, M-8, New York State Psychiatric Institute, P22813 ",104569,668,"Mental Health, Office of",08/22/22
"Special Assistant Attorney General, Medicaid Fraud Control Units Civil Enforcement Division NYC (MFCU_SAAG_NYC_3463)",104629,NS,"Attorney General, Office of the",09/02/22
Nurse 2 Psy/Nurse 1 Hourly (St. Lawrence ATC),104676,Hourly,"Addiction Services and Supports, Office of ",03/31/23
Assistant Research Scientist - 14650,104693,14,"Health, Department of ",08/01/22
"Director, College and University Evaluation, Box OHE-921/15041",104726,664,"Education Department, State",12/02/23
Nurse 2 Psychiatric or Nurse 1 Hourly (John L. Norris ATC),104732,Hourly,"Addiction Services and Supports, Office of ",03/31/23
Nurse 2 Psychiatric or Nurse 1 Hourly (Dick Van Dyke ATC),104735,Hourly,"Addiction Services and Supports, Office of ",03/31/23
Test Center Supervisor,104816,Hourly,"Civil Service, Department of ",12/31/22
Test Center Supervisor,104818,Hourly,"Civil Service, Department of ",12/31/22
Associate Psychologist,104836,23,"Children & Family Services, Office of ",07/31/22
Psychologist 2,104838,23,"Children & Family Services, Office of ",07/31/22
"Teacher 2,3,4",104842,13,"Children & Family Services, Office of ",07/31/22
Dental Assistant,104852,08,"Corrections and Community Supervision, Department of ",10/06/22
"Nurse Practitioner Family Health, Hutchings Psychiatric Center, P22843",104858,24,"Mental Health, Office of",08/08/22
Recreation Program Leader 1,104867,14,"Corrections and Community Supervision, Department of ",10/06/22
Highway Maintenance Worker 1/ Trainee 1/ Trainee 2 (Cayuga County-Region 3),104901,NS,"Transportation, Department of ",12/31/22
Highway Maintenance Worker 1/ Trainee 1/ Trainee 2 (Cortland County-Region 3),104903,NS,"Transportation, Department of ",12/31/22
Highway Maintenance Worker 1/ Trainee 1/ Trainee 2 (Onondaga County-Region 3),104905,NS,"Transportation, Department of ",12/31/22
Highway Maintenance Worker 1/ Trainee 1/ Trainee 2 (Oswego County-Region 3),104907,NS,"Transportation, Department of ",12/31/22
Highway Maintenance Worker 1/ Trainee 1/ Trainee 2 (Seneca County-Region 3),104909,NS,"Transportation, Department of ",12/31/22
Highway Maintenance Worker 1/ Trainee 1/ Trainee 2 (Tompkins County-Region 3),104911,NS,"Transportation, Department of ",12/31/22
Office Assistant 1 - Keyboarding,105007,06,"People With Developmental Disabilities, Office for",11/11/22
Psychology Positions,105013,23,"People With Developmental Disabilities, Office for",11/25/22
Highway Maintenance Worker Trainee 1/Trainee 2/Highway Maintenance Worker 1 ,105044,06,"Transportation, Department of ",12/31/22
Highway Maintenance Worker Trainee 1/Trainee 2/Highway Maintenance Worker 1 ,105046,06,"Transportation, Department of ",12/31/22
Highway Maintenance Worker Trainee 1/Trainee 2/Highway Maintenance Worker 1 ,105049,06,"Transportation, Department of ",12/31/22
Highway Maintenance Worker Trainee 1/Trainee 2/Highway Maintenance Worker 1 ,105051,06,"Transportation, Department of ",12/31/22
"Assistant Commissioner of Learning Standards and Instructional Programs, Box P12-2183/66001",105069,NS,"Education Department, State",12/02/23
Nurse 1   Registered Nurse 1     EOA # 22-012R,105083,14,"People With Developmental Disabilities, Office for",01/07/23
Highway Maintenance Worker Trainee 1/Trainee 2/Highway Maintenance Worker 1 (Region 7) ,105121,06,"Transportation, Department of ",12/31/22
Highway Maintenance Worker Trainee 1/Trainee 2/Highway Maintenance Worker 1 (Region 7) ,105123,06,"Transportation, Department of ",12/31/22
Highway Maintenance Worker Trainee 1/Trainee 2/Highway Maintenance Worker 1 (Region 7) ,105126,06,"Transportation, Department of ",12/31/22
Highway Maintenance Worker Trainee 1/Trainee 2/Highway Maintenance Worker 1 (Region 7) ,105128,06,"Transportation, Department of ",12/31/22
Highway Maintenance Worker Trainee 1/Trainee 2/Highway Maintenance Worker 1 (Region 7) ,105130,06,"Transportation, Department of ",12/31/22
Registered Nurse 2 - Temp -  Per Diem EOA#21-092R,105200,Hourly,"People With Developmental Disabilities, Office for",11/19/22
Registered Nurse 2    RN2   EOA# 21-007R,105206,16,"People With Developmental Disabilities, Office for",01/07/23
Registered Nurse 2    RN2   EOA# 20-086R,105213,16,"People With Developmental Disabilities, Office for",01/07/23
"Licensed Master Social Worker 2, Washington Heights Psychiatric Unit, P22859",105223,20,"Mental Health, Office of",08/12/22
"Project Assistant, Box P12-2155/ 51576",105358,NS,"Education Department, State",12/02/23
"Health Information Management Technician 1, Capital District Psychiatric Center, P2287268",105407,13,"Mental Health, Office of",11/17/22
"Cleaner, Pilgrim Psychiatric Center, Cleaner, P22885",105453,05,"Mental Health, Office of",08/08/22
Auditor 1 (Municipal) - Item #04355 (Rochester Regional Office),105470,18,"State Comptroller, Office of the ",08/08/22
Nurse 2,105484,16,"Children & Family Services, Office of ",08/23/22
"Infection Control Nurse, Buffalo Psychiatric Center, P22883",105510,19,"Mental Health, Office of",08/15/22
Nurse 1,105539,14,"Children & Family Services, Office of ",08/23/22
Thruway Maintenance Worker (Trainee),105583,NS,Thruway Authority,07/31/22
"Research Scientist 4 – Nathan S. Kline Research Institute– Center for Biomedical Imaging and Neuromodulation (C-BIN), P22890",105625,27,"Mental Health, Office of",08/05/22
Health Information Management Technician 1,105684,13,"People With Developmental Disabilities, Office for",08/19/22
Certified Nursing Assistant at Montrose   ,105700,08,"Health, Department of ",12/31/22
Nurse 2 Psy/Nurse 1 Hourly (Russell E. Blaisdell ATC),105703,Hourly,"Addiction Services and Supports, Office of ",03/31/23
Nurse 2 Psychiatric or Nurse 1 Hourly (Margaret A. Stutzman ATC),105706,Hourly,"Addiction Services and Supports, Office of ",03/31/23
Nurse 2 Psychiatric or Nurse 1 (CK Post ATC),105708,Hourly,"Addiction Services and Supports, Office of ",03/31/23
Physical Therapy Assistant 1 or 2 ,105723,14,"People With Developmental Disabilities, Office for",08/19/22
Medical Specialist 2,105742,38,"People With Developmental Disabilities, Office for",11/25/22
Highway Maintenance Worker Trainee 1/Trainee 2/Highway Maintenance Worker 1 (Region 9),105767,06,"Transportation, Department of ",12/31/22
Highway Maintenance Worker Trainee 1/Trainee 2/Highway Maintenance Worker 1 (Region 9),105769,06,"Transportation, Department of ",12/31/22
Highway Maintenance Worker Trainee 1/Trainee 2/Highway Maintenance Worker 1 (Region 9),105771,06,"Transportation, Department of ",12/31/22
Highway Maintenance Worker Trainee 1/Trainee 2/Highway Maintenance Worker 1 (Region 9),105773,06,"Transportation, Department of ",12/31/22
Highway Maintenance Worker Trainee 1/Trainee 2/Highway Maintenance Worker 1 (Region 9),105775,06,"Transportation, Department of ",12/31/22
Highway Maintenance Worker Trainee 1/Trainee 2/Highway Maintenance Worker 1 (Region 9),105777,06,"Transportation, Department of ",12/31/22
Highway Maintenance Worker Trainee 1/Trainee 2/Highway Maintenance Worker 1 (Region 9),105779,06,"Transportation, Department of ",12/31/22
BSC Representative 1,105812,11,"General Services, Office of ",09/01/22
Engineer- Mechanical - NYC,105888,NS,DASNY - Dormitory Authority of the State of New York,08/04/22
"Secure Care Treatment Aide 1, Western New York Children's Psychiatric Center, P22918",105922,11,"Mental Health, Office of",08/08/22
Addictions Counselor Assistant (CK Post ATC) HOURLY,105948,Hourly,"Addiction Services and Supports, Office of ",06/02/23
"Psychiatrist 2, Children and Youth, Elmira Psychiatric Center, P22936 ",105975,38,"Mental Health, Office of",12/20/22
Medical Specialist 2,105994,38,"People With Developmental Disabilities, Office for",11/25/22
"Secure Care Treatment Aide 1, Secure Care Treatment and Rehabilitation Center, STARC, Bridgeview, P22944",106008,11,"Mental Health, Office of",09/01/22
Plant Utilities Engineer 1 ,106042,14,"People With Developmental Disabilities, Office for",08/05/22
Psychiatrist 2,106074,38,"People With Developmental Disabilities, Office for",12/31/22
Assistant Solicitor General - Division of Appeals & Opinions Albany (A&O_ALB_ASG_2022),106089,NS,"Attorney General, Office of the",12/31/22
Dental Hygienist,106134,12,"Corrections and Community Supervision, Department of ",08/01/22
Senior Utilization Review Nurse,106138,NS,"Corrections and Community Supervision, Department of ",10/01/22
"Dentist 1, Mid-Hudson Forensic Psychiatric Center, P22957",106229,30,"Mental Health, Office of",08/17/22
Investigator,106251,NS,"Corrections and Community Supervision, Department of ",12/08/22
Security Services Assistant 1,106257,06,"Military and Naval Affairs, Division of ",08/31/22
Regional General Mechanic,106265,14,"Military and Naval Affairs, Division of ",08/31/22
Youth Recreation Specialist 1,106307,14,"Children & Family Services, Office of ",08/01/22
"Recreation Therapist, Elmira Psychiatric Center, P22960",106316,14,"Mental Health, Office of",09/02/22
"Assistant Deputy Attorney General, Organized Crime Task Force White Plains (OCTF_WP_ADAG_3474)",106340,NS,"Attorney General, Office of the",08/05/22
C220088 - Facility Operations Assistant 2 (Grounds) - Campus Operations,106348,09,University at Buffalo,12/07/22
Addictions Counselor Assistant - HOURLY (Russell E. Blaisdell ATC),106386,Hourly,"Addiction Services and Supports, Office of ",07/31/22
Plant Utilities Engineer 1,106392,14,"Corrections and Community Supervision, Department of ",08/09/22
"Tandem Tractor Trailer Operator, Central Office;",106439,12,"Mental Health, Office of",07/31/22
Clinical Physician 1 or 2 OR Medical Specialist 1 (Kingsboro Addiction Treatment Center),106441,36,"Addiction Services and Supports, Office of ",08/31/22
Licensed Practical Nurse (Hourly) - R. C. Ward Addiction Treatment Center,106475,NS,"Addiction Services and Supports, Office of ",06/10/23
"Dietitian 2, Bronx Psychiatric Center, P22986",106492,18,"Mental Health, Office of",08/02/22
"Rehabilitation Counselor 2, Central New York Psychiatric Center – Gouverneur Satellite Unit, P22989",106502,19,"Mental Health, Office of",08/22/22
"Licensed Psychologist, Central New York Psychiatric Center, Marcy, 22993",106586,25,"Mental Health, Office of",08/02/22
Maintenance Assistant ,106624,09,Thruway Authority,08/31/22
Nurse 2,106652,NS,"Children & Family Services, Office of ",09/01/22
Sr. Application Solution Developer,106660,NS,DASNY - Dormitory Authority of the State of New York,08/04/22
Nurse 2,106718,NS,"Children & Family Services, Office of ",09/01/22
Sr. Field Representative NYC - Construction,106723,NS,DASNY - Dormitory Authority of the State of New York,08/04/22
"Assistant Counsel, Box OP-1408/21144",106775,NS,"Education Department, State",12/02/23
Nurse 2,106821,NS,"Children & Family Services, Office of ",09/16/22
Licensed Master Social Worker 2,106843,20,"Corrections and Community Supervision, Department of ",08/16/22
