Job Title,Job Number,Job Grade,Job Agency,Application Due By,Link To Job
Bridge Repair Assistant/Trainee 1/Trainee 2 (Region 2 - Utica),100737,09,"Transportation, Department of ",09/14/22,"[<a href=""vacancyDetailsView.cfm?id=100737"">Bridge Repair Assistant/Trainee 1/Trainee 2 (Region 2 - Utica)</a>]"
Bridge Repair Assistant/Trainee 1/Trainee 2 (Region 2 - Oneida),100739,09,"Transportation, Department of ",09/14/22,"[<a href=""vacancyDetailsView.cfm?id=100739"">Bridge Repair Assistant/Trainee 1/Trainee 2 (Region 2 - Oneida)</a>]"
"C220036 - Trades Specialist (Electrician), Facilities - Campus Operations",100815,12,University at Buffalo,03/08/23,"[<a href=""vacancyDetailsView.cfm?id=100815"">C220036 - Trades Specialist (Electrician), Facilities - Campus Operations</a>]"
Tree Pruner (Region 10),100891,08,"Transportation, Department of ",12/31/22,"[<a href=""vacancyDetailsView.cfm?id=100891"">Tree Pruner (Region 10)</a>]"
Temporary Maintenance Assistant (Summer 2022) OPEN UNTIL FILLED,101185,Hourly,University at Albany,08/31/22,"[<a href=""vacancyDetailsView.cfm?id=101185"">Temporary Maintenance Assistant (Summer 2022) OPEN UNTIL FILLED</a>]"
Temporary Facilities Operations Assistant 1 (Summer 2022) OPEN UNTIL FILLED,101188,Hourly,University at Albany,08/31/22,"[<a href=""vacancyDetailsView.cfm?id=101188"">Temporary Facilities Operations Assistant 1 (Summer 2022) OPEN UNTIL FILLED</a>]"
"Psychiatrist 1/2, South Beach Psychiatric Center, Coney Island Outpatient Clinic, P22503",101238,38,"Mental Health, Office of",08/22/22,"[<a href=""vacancyDetailsView.cfm?id=101238"">Psychiatrist 1/2, South Beach Psychiatric Center, Coney Island Outpatient Clinic, P22503</a>]"
"Medical Specialist 2, Part-Time, Mid-Hudson Forensic Psychiatric Center, Physician, P22542",101277,38,"Mental Health, Office of",08/26/22,"[<a href=""vacancyDetailsView.cfm?id=101277"">Medical Specialist 2, Part-Time, Mid-Hudson Forensic Psychiatric Center, Physician, P22542</a>]"
"Instructor (Special Education/Teacher of the Deaf), Box ROM-352/00123",101553,NS,"Education Department, State",12/02/23,"[<a href=""vacancyDetailsView.cfm?id=101553"">Instructor (Special Education/Teacher of the Deaf), Box ROM-352/00123</a>]"
"Project Coordinator, Box OHE-920/51520",102186,NS,"Education Department, State",12/02/23,"[<a href=""vacancyDetailsView.cfm?id=102186"">Project Coordinator, Box OHE-920/51520</a>]"
Virtual Currency Supervision Director ,102238,33,"Financial Services, Department of",08/15/22,"[<a href=""vacancyDetailsView.cfm?id=102238"">Virtual Currency Supervision Director </a>]"
Rent Examiner 2,102268,14,Homes and Community Renewal,08/31/22,"[<a href=""vacancyDetailsView.cfm?id=102268"">Rent Examiner 2</a>]"
"Nurse 2 Psychiatric, Central New York Psychiatric Center - Auburn Satellite Unit, P22607",102311,16,"Mental Health, Office of",08/25/22,"[<a href=""vacancyDetailsView.cfm?id=102311"">Nurse 2 Psychiatric, Central New York Psychiatric Center - Auburn Satellite Unit, P22607</a>]"
C220052 - Facility Operations Assistant 1 (Grounds) – Campus Operations,102550,06,University at Buffalo,10/07/22,"[<a href=""vacancyDetailsView.cfm?id=102550"">C220052 - Facility Operations Assistant 1 (Grounds) – Campus Operations</a>]"
Test Center Monitor,102729,Hourly,"Civil Service, Department of ",12/31/22,"[<a href=""vacancyDetailsView.cfm?id=102729"">Test Center Monitor</a>]"
"Trades Specialist (Electrician), Box PIMS-559/01057",102733,12,"Education Department, State",12/02/23,"[<a href=""vacancyDetailsView.cfm?id=102733"">Trades Specialist (Electrician), Box PIMS-559/01057</a>]"
Test Center Monitor,102737,Hourly,"Civil Service, Department of ",12/31/22,"[<a href=""vacancyDetailsView.cfm?id=102737"">Test Center Monitor</a>]"
Test Center Monitor,102739,Hourly,"Civil Service, Department of ",12/31/22,"[<a href=""vacancyDetailsView.cfm?id=102739"">Test Center Monitor</a>]"
Test Center Supervisor,102742,Hourly,"Civil Service, Department of ",12/31/22,"[<a href=""vacancyDetailsView.cfm?id=102742"">Test Center Supervisor</a>]"
Test Center Monitor,102745,Hourly,"Civil Service, Department of ",12/31/22,"[<a href=""vacancyDetailsView.cfm?id=102745"">Test Center Monitor</a>]"
"Associate Psychologist, Mid-Hudson Forensic Psychiatric Center, P22651",102768,23,"Mental Health, Office of",08/16/22,"[<a href=""vacancyDetailsView.cfm?id=102768"">Associate Psychologist, Mid-Hudson Forensic Psychiatric Center, P22651</a>]"
Test Center Monitor,102807,Hourly,"Civil Service, Department of ",12/31/22,"[<a href=""vacancyDetailsView.cfm?id=102807"">Test Center Monitor</a>]"
Test Center Monitor,102823,Hourly,"Civil Service, Department of ",12/31/22,"[<a href=""vacancyDetailsView.cfm?id=102823"">Test Center Monitor</a>]"
Test Center Monitor,102826,Hourly,"Civil Service, Department of ",12/31/22,"[<a href=""vacancyDetailsView.cfm?id=102826"">Test Center Monitor</a>]"
Test Center Monitor,102828,Hourly,"Civil Service, Department of ",12/31/22,"[<a href=""vacancyDetailsView.cfm?id=102828"">Test Center Monitor</a>]"
Test Center Monitor,102831,Hourly,"Civil Service, Department of ",12/31/22,"[<a href=""vacancyDetailsView.cfm?id=102831"">Test Center Monitor</a>]"
Test Center Monitor,102833,Hourly,"Civil Service, Department of ",12/31/22,"[<a href=""vacancyDetailsView.cfm?id=102833"">Test Center Monitor</a>]"
Public Health Inspector - 33 Summer Positions,102970,Hourly,"Health, Department of ",08/08/22,"[<a href=""vacancyDetailsView.cfm?id=102970"">Public Health Inspector - 33 Summer Positions</a>]"
"Nurse 2 Psychiatric, Central New York Psychiatric Center - Green Haven Satellite Unit, P22676",103029,16,"Mental Health, Office of",08/29/22,"[<a href=""vacancyDetailsView.cfm?id=103029"">Nurse 2 Psychiatric, Central New York Psychiatric Center - Green Haven Satellite Unit, P22676</a>]"
"Assistant Counsel, (Albany or Manhattan Location), Box OP-1461/00141",103091,NS,"Education Department, State",12/02/23,"[<a href=""vacancyDetailsView.cfm?id=103091"">Assistant Counsel, (Albany or Manhattan Location), Box OP-1461/00141</a>]"
Motor Vehicle Operator,103349,07,"General Services, Office of ",12/31/22,"[<a href=""vacancyDetailsView.cfm?id=103349"">Motor Vehicle Operator</a>]"
"Plant Utilities Assistant, Creedmoor Psychiatric Center, P22686",103403,09,"Mental Health, Office of",08/04/22,"[<a href=""vacancyDetailsView.cfm?id=103403"">Plant Utilities Assistant, Creedmoor Psychiatric Center, P22686</a>]"
Senior Attorney,103553,25,"Health, Department of ",11/30/22,"[<a href=""vacancyDetailsView.cfm?id=103553"">Senior Attorney</a>]"
Nurse Practitioner Psychiatric (Hourly) - South Beach ATC,103697,Hourly,"Addiction Services and Supports, Office of ",03/31/23,"[<a href=""vacancyDetailsView.cfm?id=103697"">Nurse Practitioner Psychiatric (Hourly) - South Beach ATC</a>]"
Clinical Physician 1 or 2 (Hourly - South Beach Addiction Treatment Center),103702,Hourly,"Addiction Services and Supports, Office of ",03/31/23,"[<a href=""vacancyDetailsView.cfm?id=103702"">Clinical Physician 1 or 2 (Hourly - South Beach Addiction Treatment Center)</a>]"
"Health Information Management Technician 2, Secure Treatment and Rehabilitation Center - Bridgeview, P22732",103826,15,"Mental Health, Office of",09/29/22,"[<a href=""vacancyDetailsView.cfm?id=103826"">Health Information Management Technician 2, Secure Treatment and Rehabilitation Center - Bridgeview, P22732</a>]"
Bridge Repair Assistant Trainee 1/Trainee 2/Bridge Repair Assistant 1 (Region7),103989,NS,"Transportation, Department of ",10/28/22,"[<a href=""vacancyDetailsView.cfm?id=103989"">Bridge Repair Assistant Trainee 1/Trainee 2/Bridge Repair Assistant 1 (Region7)</a>]"
Budget and Policy Analyst ,104011,NS,"Budget, Division of",09/02/22,"[<a href=""vacancyDetailsView.cfm?id=104011"">Budget and Policy Analyst </a>]"
"Licensed Master Social Worker 2, Central New York Psychiatric Center, Marcy, Residential Mental Health Unit, P22759",104059,20,"Mental Health, Office of",08/08/22,"[<a href=""vacancyDetailsView.cfm?id=104059"">Licensed Master Social Worker 2, Central New York Psychiatric Center, Marcy, Residential Mental Health Unit, P22759</a>]"
"Licensed Master Social Worker 1, Central New York Psychiatric Center, Mohawk Satellite Unit, P22761",104080,18,"Mental Health, Office of",08/08/22,"[<a href=""vacancyDetailsView.cfm?id=104080"">Licensed Master Social Worker 1, Central New York Psychiatric Center, Mohawk Satellite Unit, P22761</a>]"
Office Assistant 1 (Keyboarding) - 4 Summer Positions ,104120,NS,"Health, Department of ",08/08/22,"[<a href=""vacancyDetailsView.cfm?id=104120"">Office Assistant 1 (Keyboarding) - 4 Summer Positions </a>]"
Nurse 2,104222,16,"Children & Family Services, Office of ",07/31/22,"[<a href=""vacancyDetailsView.cfm?id=104222"">Nurse 2</a>]"
Highway Maintenance Worker Trainee 1/Trainee 2/Highway Maintenance Worker 1 (Region 10),104234,06,"Transportation, Department of ",12/31/22,"[<a href=""vacancyDetailsView.cfm?id=104234"">Highway Maintenance Worker Trainee 1/Trainee 2/Highway Maintenance Worker 1 (Region 10)</a>]"
Highway Maintenance Worker Trainee 1/Trainee 2/Highway Maintenance Worker 1 (Region 10),104239,06,"Transportation, Department of ",12/31/22,"[<a href=""vacancyDetailsView.cfm?id=104239"">Highway Maintenance Worker Trainee 1/Trainee 2/Highway Maintenance Worker 1 (Region 10)</a>]"
Highway Maintenance Worker Trainee 1/Trainee 2/Highway Maintenance Worker 1 (Region 8- Westchester County),104267,06,"Transportation, Department of ",12/31/22,"[<a href=""vacancyDetailsView.cfm?id=104267"">Highway Maintenance Worker Trainee 1/Trainee 2/Highway Maintenance Worker 1 (Region 8- Westchester County)</a>]"
Highway Maintenance Worker 1/ Trainee 2 (Oneida County-Region 2),104276,NS,"Transportation, Department of ",12/31/22,"[<a href=""vacancyDetailsView.cfm?id=104276"">Highway Maintenance Worker 1/ Trainee 2 (Oneida County-Region 2)</a>]"
